Event,Price
Non Farm Payrolls,1285.8
Ivey PMI s.a,1289.9
Business Confidence,1285.9
Inflation Rate YoY,1292.0
Core Inflation Rate YoY,1289.5
Inflation Rate YoY,1289.5
Inflation Rate YoY,1293.8
Inflation Rate YoY,1292.3
Inflation Rate YoY,1282.6
Claimant Count Change,1285.8
Balance of Trade,1285.8
Consumer Confidence,1315.5
Business Confidence,1315.5
Gfk Consumer Confidence,1315.5
NBS Manufacturing PMI,1315.5
Caixin Manufacturing PMI,1325.2
Non Farm Payrolls,1322.1
Balance of Trade,1314.4
Ivey PMI s.a,1314.4
Inflation Rate YoY,1315.1
Core Inflation Rate YoY,1315.1
Inflation Rate YoY,1315.1
Retail Sales MoM,1313.9
Inflation Rate YoY,1313.9
Claimant Count Change,1344.8
Balance of Trade,1344.8
Durable Goods Orders MoM,1327.8
Inflation Rate YoY,1327.8
Business Confidence,1321.2
Inflation Rate YoY,1321.2
Gfk Consumer Confidence,1321.2
NBS Manufacturing PMI,1321.2
Caixin Manufacturing PMI,1316.1
Consumer Confidence,1299.2
Personal Income MoM,1299.2
Personal Income MoM,1299.2
Personal Spending MoM,1299.2
Balance of Trade,1287.6
Balance of Trade,1287.6
Ivey PMI s.a,1287.6
Non Farm Payrolls,1299.3
Inflation Rate YoY,1299.3
Retail Sales MoM,1291.1
Balance of Trade,1298.1
Core Inflation Rate YoY,1298.1
Inflation Rate YoY,1298.1
Durable Goods Orders MoM,1309.3
Claimant Count Change,1306.5
Inflation Rate YoY,1301.7
Inflation Rate YoY,1307.3
Inflation Rate YoY,1312.3
Balance of Trade,1310.4
Balance of Trade,1310.4
Business Confidence,1295.3
Gfk Consumer Confidence,1295.3
Personal Income MoM,1298.5
Personal Spending MoM,1298.5
Retail Sales MoM,1294.2
Durable Goods Orders MoM,1295.4
Ivey PMI s.a,1294.3
Non Farm Payrolls,1295.6
Consumer Confidence,1301.9
Core Inflation Rate YoY,1313.9
Inflation Rate YoY,1313.9
Inflation Rate YoY,1313.9
Claimant Count Change,1277.2
Balance of Trade,1277.2
Inflation Rate YoY,1276.8
Balance of Trade,1276.8
Inflation Rate YoY,1276.8
Balance of Trade,1276.8
Retail Sales MoM,1276.0
Inflation Rate YoY,1276.0
Durable Goods Orders MoM,1279.7
Business Confidence,1281.5
Personal Income MoM,1281.5
Personal Spending MoM,1281.5
Personal Spending MoM,1281.5
Gfk Consumer Confidence,1281.5
NBS Manufacturing PMI,1281.5
Caixin Manufacturing PMI,1281.5
Non Farm Payrolls,1281.5
Ivey PMI s.a,1285.6
Inflation Rate YoY,1281.4
Consumer Confidence,1285.2
Balance of Trade,1285.2
Balance of Trade,1285.2
Core Inflation Rate YoY,1285.2
Inflation Rate YoY,1285.2
Claimant Count Change,1296.3
